A; An,Without:         amoral; anarchy; anomalous; anonymous; aseptic; asexual; atheism; atrophy; averse
Ab,From Away Apart:         abdicate; abduct; abhor; abject; abnormal; abrupt; absent; abuse
Able; Ible,Capable of; Worthy Of:         changeable; durable; laudable; indubitable; inevitable; infalible; irreducible; tolerable; variable
Ac; Acr,Sharp; Sour:         acerbic; acetate; acid; acrid; acrimony; acumen; acute
Acou,Hearing:         acoustic
Ad; A,To:         adapt; adequate; adumbrate; advocate; accede; adduce; affiliate; aggregate; allocate; annuniciation; appall; arrest; assiduous; attract
Ambi; Amphi,Both; On Both Sides; Around:         ambidextrous; ambient; ambiguous; ambition; ambivalent; amphibian; amphitheater
Ambl; Ambul,Walk:         amble; ambulance; ambulatory; perambulator; preamble
Anim,Mind; Spirit; Breath:         animadversion; animal; animate; animosity; equanimity; magnanimity; pusillanimous; unanimity
Ant; Ante,Before:         antecedent; antechamber; antediluvian; anterior; anticipate; antiquity; ancient
Anti; Ant,against; oppostite:         anticlimax; antidote; antipathy; anitphony; antipodes; antithesis
Aqua; Aque,Water:         aquamarine; aquarium; aquatic; aquatint; aqueduct; subaqueous
Ard,Burn:         ardent; ardor; arson
Auto; Aut,Self:         autobiography; autocracy; autograph; automation; autonomous; autopsy; autism
Bel; Bell,War:         antebellum; bellicose; belligerent; rebellion
Ben,Well; Good:         benediction; benefactor; benevolent; benign
Bi; Bin,Two:         bicameral; bicycle; bifocals; bifurcate; bilateral; binoculars; binomial; biped; combination
Bon; Boun,Good; Generous:         bonus; bountiful; bounty; debonair
Brew; Brid,Short; Small:         abbreviate; abridge; brevet; breviary; breviary; breviloquent; brief
Burs,Purse; Money:         busary; busary; disburse; reimburse
Cap; Cipt; Capt; Cept,Hold; Take:           capture; captive; conception; recipient
Carn,Flesh:         Carnivorous; incarnate; reincarnation; carnal
Caus; Caut,Burn:         caustic; cauterize; cautery; encaustic; holocaust
Ced; Cess,Yield; Go:         abscess; accede; access; accessory; ancestory; antecedent; cession; concede; exceed; excess; intercede; precede; proceed; recede; recess; recession; secede; succeed
Celer,Speed:         accelerate; celerity; deccelerate
Cent,Hundred; Hundredth:         cent; centennial; bicentennial; centigrade; centigram; centiliter; centimeter; centipede; century; percent
Chrom,Color:         chromatic; chrome; chromosome; monochromatic
Chron,Time:         anachronism; chronic; chronicle; chronological; chronometer; synchronize
Circum,Around:         circumference; circumlocation; circumnavigate; circumspect; circumstance
Co; Com; Con,With Together:         coeductation; coefficient; coincide; communicate; communist; compare; concert; concubine; conflict; cooperate; correspond
Contra; Contro,Against:         contradict; contrary; controversy; counter; counteract; counterattack; counterfeit; countermand; counterpart; counterpoint; eencounter
Cord; Card,Heart:         accord; cardiac; cardiograph; cardiology; concord; cordial; discord; record
Corp; Cors,Body:         corporate; corps; corpse; corpulent; corpus; corpuscle; corset; incorporation
Cosm,Order Universe; World:         cosmetic; cosmic; cosmology; cosmonaut; cosmopolitan; cosmos; microcosm
Cred,Trust; Believe:         accredit; credentials; credible; creditable; credo; credulity; creed; incredible; incredulous
Crypt,Hide:         crypt; cryptic; crytography; apocryphal
Culp,Fault; Blame:         culpable; culprit; inculpate; exculpate
Cumb; Cub,Lie Down:         concubine; cubicle; incubate; incumbent; recumbent; succubus; succumb
Cyn; Can,Dog:         canine; cynic
De,Down; Out; Away From; Apart:         dehydrate; deject; depend; depress; deport; descend; describe; devalue
Dele,Erase:         dele; delete; indelible
Dext,Right Hand; Rightside:         ambidextrous; dexterity; dexterous
Di,Day:         dial; diary; dismal; diurnal; meridian; quotidian
Dia,Through; Across:         diadem; diagnosis; diagonoal; diagram; dialect; dialogue; diameter; diaphanous; diaphragm; diarrhea; diatribe
Dic; Dict; Dit,Speak:         abdicate; addict; benediction; condition; contradict; dedicate; dictate; dietator
Di; Dis,Away; Apart:         disagreeable; discard; discern; disdain; dismay; dismiss; distant; diverge
Dol,Grieve:         condole; condolence; doleful; dolor; indolent
Dorm,Sleep:         dormant; dormitory
Dors,Back:         dorsal; endorse
Duc; Duct,Lead:         adduce; conduce; conduit; deduce; duct; duke; educate; induction; misconduct; produce; reduce; seduce; traduce; viaduct
Dulc,Sweet:         dulcet; dulcified; dulcimer
Dur,Hard; Lasting:         dour; durable; duration; duress; during; endure; obdurate; perdurable
Ei; Ex; Ex,without; outside:         eliminate; emanate; eradicate; erase; evade; evit; envince; exact; excavate; except; excerpt; excite; exclusive; excommunicate; excrescence; execute; exhale; exile; exit
Ego,Self:         ego; egocentric; egoism; egotist
Equ,Equal:         adequate; equable; equal; equation; equator; equilibrium; equinox; rquivocate
Err,Wander:         aberration; err; errant; erratic; erroneous; error
Eu,Well; Good:         Eugenics; eulogy; euphemism; euphony; euphoria; euthanasia
Fal,Liable to Err to Deceive:         default; fail; fallacy; false; faux; pas; infallible
Fatu,Foolish:         fatuity; fatuous; infatuate
Ferv,Boil:         effervescent; fervent; fervid; fervor
Fid; Fi,Fair; Faith:         affiance; affidavit; confidant; fidelity; fiducial; fiduciary
Flagr; Fulg; Fulm,Burn; Shine:         conflagration; effulgent; flagrant; fulgent; fulminate; refulgent
Flect; Flex,Bend; Turn:         circumflex; deflect; flex; flexible; inflection; reflect
Fug,Flee:         centrifuge; fugitive; refuge; refugee; subterfuge
Fur,Steal:          furtive
Fum,Smoke:         fume; fumigate; perfume
Gen,Birth; Class; Kin:         gender; gende; general; generation; generosity; genesis; genetics; genial; genital; genius; gentle; gentile; gentility; gentry; congenital; degenerate; eugenics; ingenious; ingenuity; ingenuous; progeny; progenitor; regenerate
GNO; GNI; COGN,Know:         agnostic; cognition; cognizance; diagnosis; gnomic; ignore; incognito; prognosis; quaint; recognize; reconnaissance
Gram; Graph,Write; Draw:         anagram; diagram; epigram; grammar; grammarian; gramphone; graph; graphic; graphite; phography; photograph; program; telegram
Greg,Flock:         aggregate; congregate; egregious; gregarious; segregate
Hap,By Chance:         haphazard; hapless; happen; happily; happy; mahap; mishap
Hemi,Half:         hemiptera; hemipshere; hemistih
Hetero,Other:         heterodox; heterodyne; heterogeneous; heterosexual
Hol,Whole:         catholic; holocaust; hologram; holgraphy; holistic
Homo,Same (from greek):         Homogeneous; homogenize; homologue; homonym; homophone; homoptera; homsexual; homotype
Hum,Earth:         exhume; humility; psthumous
Icon,Image; Idol:         icon; iconic; iconoclast; iconography; iconology
IM; IN,Not:         immature; immutable; imperfect; improvident; indigestible; inhospitable; innocuous; intolerant
In; IM; I,In; On:         illuminate; incantation; induct; infer; imbibe; immigrate; impact; irrigate
Inter,Between; Among:         intercept; intrastate; intravenous
IT; ITER,Way; Journey:         ambition; circuit; initial; itinerant; itinerary; reiterate; transit
Joc,Joke:         jocose; jocular; jocularity; jocund; joke
Jour,Day:         adjourn; journey; journal; adjourn
Jud,Judge:         adjudicate; judiciary; judicious; prejudice
