"Abate","verb - become less in amount or intensity; make less active or intense"
"Aberrant","adj - markedly different from an accepted norm; noun one whose behavior departs substantially from the norm of a group"
"Abeyance","noun - temporary cessation or suspension"
"Abjure","verb - formally reject or disavow a formerly held belief, usually under pressure"
"Ablution","noun - the ritual washing of a priest's hands or of sacred vessels"
"Abrogate","verb - revoke formally"
"Abscond","verb - run away; usually includes taking something or somebody along"
"Abstemious","adj - sparing in consumption of especially food and drink; marked by temperance in indulgence"
"Abstruse","adj - difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge"
"Accretion","noun -  the process of growth or increase, typically by the gradual accumulation of additional layers or matter; something contributing to growth or increase"
"Acerbic","adj - harsh or corrosive in tone; sour or bitter in taste"
"Acquiesce","verb - to agree or express agreement"
"Acrid","adj - harsh or corrosive in tone; strong and sharp; having an irritatingly strong and unpleasant taste or smell"
"Adjoin","verb - attach or add; be in direct physical contact with; make contact; lie adjacent to another or share a boundary"
"Admonish","verb - take to task; admonish or counsel in terms of someone's behavior; warn strongly; put on guard"
"Adulterate","adj - mixed with impurities; verb corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones"
"Advocate","noun - a person who pleads for a cause or propounds an idea; a lawyer who pleads cases in court; verb speak, plead, or argue in favour of"
"Aesthetic","adj - concerned with beauty or the appreciation of beauty"
"Affable","adj - diffusing warmth and friendliness"
"Aggrandize","verb - add details to"
"Alacrity","noun - liveliness and eagerness"
"Alleviate","verb - provide physical relief, as from pain; make easier"
"Amalgamate","adj - joined together into a whole; verb to bring or combine together or with something else"
"Ambiguous","adj - having more than one possible meaning;"
"Ambivalence","noun - mixed feelings or emotions"
"Ambrosial","adj - worthy of the gods; extremely pleasing to the taste; sweet and fragrant"
"Ameliorate","verb - get better; to make better"
"Anachronism","noun - an artifact that belongs to another time; a person who seems to be displaced in time; who belongs to another age; something located at a time when it could not have existed or occurred"
"Anomalous","adj - deviating from the general or common order or type"
"Antediluvian","adj - so extremely old as seeming to belong to an earlier period; of or relating to the period before the biblical flood; ridiculously old-fashioned"
"Antipathy","noun - the object of a feeling of intense aversion; something to be avoided; a feeling of intense dislike"
"Apathy","noun - the trait of lacking enthusiasm for or interest in things generally; an absence of emotion or enthusiasm"
"Apogee","noun - the highest point in the development of something; the climax or culmination of something"
"Apostasy","noun - the act of abandoning a party or cause; the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)"
"Apotheosis","noun - the elevation of a person (as to the status of a god); model of excellence or perfection of a kind; one having no equal"
"Appease","verb - make peace with; overcome or allay; cause to be more favorably inclined; gain the good will of"
"Apprise","verb - increase the value of; gain in value; make aware of; inform (somebody) of something"
"Approbation","noun - official recognition or approval; official approval"
"Arbitrate","verb - act between parties with a view to reconciling differences"
"Arduous","adj - difficult to accomplish;  characterized by toilsome effort to the point of exhaustion"
"Artless","adj - simple and natural; without cunning or deceit; characterized by an inability to mask your feelings"
"Ascetic","adj - practicing great self-denial; noun - someone who practices self denial as a spiritual discipline"
"Asperity","noun - harshness of manner; something hard to endure"
"Assiduous","adj - marked by care and persistent effort"
"Assuage","verb - provide physical relief, as from pain; satisfy (thirst); cause to be more favorably inclined; gain the good will of"
"Attenuate","adj - reduced in strength; verb become weaker, in strength, value, or magnitude; weaken the consistency of (a chemical substance)"
"Audacious","adj - disposed to venture or take risks; unrestrained by convention or propriety; invulnerable to fear or intimidation"
"Augury","noun - an event that is experienced as indicating important things to come"
"Auspicious","adj - auguring favorable circumstances and good luck"
"Austere","adj - of a stern or strict bearing or demeanor; forbidding in aspect; severely simple; practicing great self-denial"
"Aver","verb - to declare or affirm solemnly and formally as true; report or maintain"
"Baleful","adj - threatening or foreshadowing evil or tragic developments; deadly or sinister"
"Banal","adj - repeated too often; overfamiliar through overuse"
"Barefaced","adj - unrestrained by convention or propriety; with no effort to conceal"
"Belie","verb - represent falsely; be in contradiction with"
"Bellicose","adj - having or showing a ready disposition to fight"
"Belligerent","adj - engaged in war; characteristic of an enemy or one eager to fight; noun someone who fights (or is fighting)"
"Benevolent","adj - generous in providing aid to others; intending or showing kindness; generous in assistance to the poor; showing or motivated by sympathy and understanding and generosity"
"Benign","adj - pleasant and beneficial in nature or influence; kindness of disposition or manner; not dangerous to health; not recurrent or progressive (especially of a tumor)"
"Blandishment","noun - the act of urging by means of teasing or flattery; flattery intended to persuade"
"Blithe","adj - carefree and happy and lighthearted; lacking or showing a lack of due concern"
"Bolster","verb - support and strengthen; prop up"
"Bombast","noun - pompous or pretentious talk or writing"
"Bombastic","adj - ostentatiously lofty in style"
"Boorish","adj - ill-mannered and coarse and contemptible in behavior or appearance"
"Breach","noun - a failure to perform some promised act or obligation; an opening (especially a gap in a dike or fortification)"
"Broach","noun - a decorative pin worn by women; verb bring up a topic for discussion"
"Burgeon","verb - grow and flourish"
"Burnish","noun - the property of being smooth and shiny; verb polish and make shiny"
"Buttress","noun - a support usually of stone or brick; supports the wall of a building; verb make stronger or defensible; reinforce with a buttress"
"Cadge","verb - obtain or seek to obtain by cadging or wheedling; ask for and get free; be a parasite"
"Cajole","verb - influence or urge by gentle urging, caressing, or flattering"
"Capitulate","verb - surrender under agreed conditions"
"Caprice","noun - a sudden desire"
"Capricious","adj - determined by chance or impulse or whim rather than by necessity or reason; changeable"
"Castigate","verb - inflict severe punishment on; censure severely"
"Castigation","noun - verbal punishment; a severe scolding"
"Catalyst","noun - something that causes an important event to happen; (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected"
"Caustic","adj - harsh or corrosive in tone; sarcastic in a scathing and bitter way; noun - any chemical substance that burns or destroys living tissue"
"Censure","noun - harsh criticism or disapproval; the state of being excommunicated; verb rebuke formally"
"Chary","adj - characterized by great cautious and wariness"
"Chicanery","noun - the use of tricks to deceive someone (usually to extract money from them)"
"Coda","noun - the closing section of a musical composition; a concluding event, remark or section"
"Cogent","adj - powerfully persuasive"
"Commensurate","adj - corresponding in size or degree or extent"
"Complaisance","noun - a disposition or tendency to yield to the will of others"
"Complaisant","adj - showing a cheerful willingness to do favors for others"
"Compunction","noun - a feeling of deep regret (usually for some misdeed)"
"Conciliatory","adj - intended or likely to overcome animosity or hostility; making or willing to make concessions"
"Condone","verb - excuse, overlook, or make allowances for; be lenient with"
"Conflagration","noun - a very intense and uncontrolled fire"
"Confluence","noun - a flowing together; a place where things merge or flow together (especially rivers); a coming together of people"
"Confound","verb - mistake one thing for another; be confusing or perplexing to; cause to be unable to think clearly"
"Congenital","adj - present at birth but not necessarily hereditary; acquired during fetal development"
"Connoisseur","noun - an expert able to appreciate a field; especially in the fine arts"
"Contentious","adj - involving or likely to cause controversy; inclined or showing an inclination to dispute or disagree, even to engage in law suits"
"Contiguous","adj - very close or connected in space or time; having a common boundary or edge; touching; connecting without a break; within a common boundary"
"Contrite","adj - feeling regret for a fault or offence; feeling or expressing pain or sorrow for sins or offenses"
"Conundrum","noun - a difficult problem"
"Convoke","verb - call together"
"Convoluted","adj - highly complex or intricate"
"Corporal","adj - possessing or existing in bodily form; affecting or characteristic of the body as opposed to the mind or spirit; noun a noncommissioned officer in the army or airforce or marines"
"Corporeal","adj - having material or physical form or substance; affecting or characteristic of the body as opposed to the mind or spirit"
"Corroborate","verb - support with evidence or authority or make more certain or confirm; establish or strengthen as with new evidence or facts; give evidence for"
"Craven","adj - lacking even the rudiments of courage; abjectly fearful; noun an abject coward"
"Credulity","noun - tendency to believe readily"
"Credulous","adj - gullible; disposed to believe on little evidence; showing a lack of judgment or experience"
"Culpable","adj - deserving blame or censure as being wrong or evil or injurious"
"Cursory","adj - hasty and without attention to detail; not thorough"
"Daunt","verb - cause to lose courage; make (someone) feel intimidated or apprehensive"
"Dearth","noun - an insufficient quantity or number; an acute insufficiency"
"Decorum","noun - propriety in manners and conduct"
"Deference","noun - a courteous expression (by word or deed) of esteem or regard; courteous regard for people's feelings; a disposition or tendency to yield to the will of others"
"Deferential","adj - showing deference; respectful"
"Deign","verb - do something that one considers to be below one's dignity"
"Delineate","adj - represented accurately or precisely; verb describe in vivid detail; determine the essential quality of"
"Denigrate","verb - charge falsely or with malicious intent; attack the good name and reputation of someone; cause to seem less serious; play down"
"Depict","verb - give a description of; show in, or as in, a picture; make a portrait of"
"Deprecate","verb - belittle; express strong disapproval of; deplore"
"Deprecation","noun - the act of expressing disapproval (especially of yourself); a prayer to avert or remove some evil or disaster"
"Depredation","noun - an act of plundering and pillaging and marauding; (usually plural) a destructive action"
"Deride","verb - treat or speak of with contempt"
"Derision","noun - the act of deriding or treating with contempt; contemptuous laughter"
"Derivative","adj - originating from, based on, or influenced by; noun - a financial instrument whose value is based on another security"
"Descry","verb - catch sight of"
"Desiccate","adj - lacking vitality or spirit; lifeless; verb lose water or moisture; remove water from; preserve by removing all water and liquids from"
"Desultory","adj - marked by lack of definite plan or regularity or purpose; jumping from one thing to another"
"Diaphanous","adj - so thin as to transmit light; (esp. of fabric) light, delicate, and translucent"
"Diatribe","noun - thunderous verbal attack"
"Dichotomy","noun - being twofold; a classification into two opposed parts or subclasses"
"Didactic","adj - instructive (especially excessively)"
"Diffidence","noun - lack of self-confidence"
"Diffident","adj - lacking self-confidence; showing modest reserve"
"Diffuse","adj - spread out; not concentrated in one place; lacking conciseness; (of light) transmitted from a broad light source or reflected; verb move outward; cause to become widely known; spread or diffuse through"
"Dilatory","adj - wasting time; inclined to waste time and lag behind; using cautious slow strategy to wear down opposition; avoiding direct confrontation"
"Dilettante","adj - showing frivolous or superficial interest; amateurish; noun an amateur who engages in an activity without serious intentions and who pretends to have knowledge"
"Dirge","noun - a song or hymn of mourning composed or performed as a memorial to a dead person"
"Disabuse","verb - free somebody (from an erroneous belief); persuade (someone) that an idea or belief is mistaken"
"Discordant","adj - not in agreement or harmony; lacking in harmony"
"Discredit","noun - the state of being held in low esteem; verb cause to be distrusted or disbelieved; damage the reputation of; reject as false; refuse to accept"
"Discrete","adj - constituting a separate entity or part"
"Disinterested","adj - unaffected by self-interest"
"Disparage","verb - express a negative opinion of"
"Disparaging","adj - expressive of low opinion"
"Disparate","adj - including markedly dissimilar elements; fundamentally different or distinct in quality or kind"
"Dispassionate","adj - unaffected by strong emotion or prejudice"
"Dissemble","verb - behave unnaturally or affectedly; hide under a false appearance; make believe with the intent to deceive"
"Disseminate","verb - cause to become widely known"
"Dissolution","noun - the termination or disintegration of a relationship (between persons or nations); separation into component parts; the termination of a meeting"
"Dissonance","noun - disagreeable sounds; the auditory experience of sound that lacks musical quality; a conflict of people's opinions or actions or characters"
"Distend","verb - swell from or as if from internal pressure; cause to expand as it by internal pressure; become wider"
"Dogged","adj - stubbornly unyielding"
"Dogmatic","adj - characterized by assertion of unproved or unprovable principles; relating to or involving dogma; of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative"
"Dormant","adj - inactive but capable of becoming active;"
"Dupe","noun - a person who is tricked or swindled; verb fool or hoax"
"Duplicity","noun - acting in bad faith; deception by pretending to entertain one set of intentions while acting under the influence of another; a fraudulent or duplicitous representation"
"Ebullient","adj - joyously unrestrained"
"Eclectic","adj - selecting what seems best of various styles or ideas; noun someone who selects according to the eclectic method"
"Efficacy","noun - capacity or power to produce a desired effect"
